fuck,badLanguage
diu,badLanguage
damn,badLanguage
ding,badLanguage
fuck you,badLanguage
fuck you mother,badLanguage
bitch,badLanguage
son of bitch,badLanguage
shit,badLanguage
damn it,badLanguage
sucker,badLanguage
bull shit,badLanguage
bullshit,badLanguage
bullshitter,badLanguage
ah,badLanguage
ahh,badLanguage
ahhh,badLanguage
ahhhhh,badLanguage
ass hole,badLanguage
dick,badLanguage
i want to find manager,booking
find manager,booking
booking,booking
book,booking
book services,booking
personal manager,booking
individual help,booking
individual service,booking
private help,booking
cancel,cancel
i dont want this now,cancel
i don'd want it,cancel
no thanks,cancel
get ticket,ticket
ticket please,ticket
i want to get a ticket,ticket
i cant to get in the queue,ticket
queue,ticket
can i get a ticket?,ticket
ticket,ticket
yes,yes
ok,yes
yes please,yes
yes thanks,yes
Yea,yes
of couse,yes
of cuz,yes
true,yes
